log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,log_px_z,kl_z,elbo,objective,time_forward
-13.53038215637207,7.440376281738281,18.30835723876953,-18.30835723876953,-13.530383110046387,7.977644443511963,18.3083553314209,-18.3083553314209,61,1239,141.5233154296875,0.0175858736038208,-12.409899711608887,-1.0826804637908936,141.5233154296875,0.0175858736038208,-12.409899711608887,-1.0826804637908936,,,,,
,,30.50282859802246,,,,,,62,1249,,,,,,,,,-20.792892456054688,9.709938049316406,-30.50282859802246,-30.50282859802246,9.199604034423828
-13.53038215637207,7.670879364013672,18.732126235961914,-18.732126235961914,-13.530383110046387,8.337398529052734,18.732126235961914,-18.732126235961914,62,1259,,,,,,,,,,,,,
-13.53038215637207,7.414246082305908,18.094892501831055,-18.094892501831055,-13.530383110046387,7.9496026039123535,18.094892501831055,-18.094892501831055,63,1279,,,,,,,,,,,,,
,,28.348787307739258,,,,,,64,1299,,,,,,,,,-19.143339157104492,9.205451011657715,-28.348787307739258,-28.348787307739258,13.236614227294922
-13.53038215637207,7.497119426727295,18.975805282592773,-18.975805282592773,-13.530383110046387,8.11516284942627,18.97580337524414,-18.97580337524414,64,1299,,,,,,,,,,,,,
-13.53038215637207,7.534026622772217,17.873849868774414,-17.873849868774414,-13.530383110046387,8.179081916809082,17.873849868774414,-17.873849868774414,65,1319,,,,,,,,,,,,,
-13.53038215637207,7.6604838371276855,18.4244384765625,-18.4244384765625,-13.530383110046387,8.193305015563965,18.424436569213867,-18.424436569213867,66,1339,,,,,,,,,,,,,
,,28.83321762084961,,,,,,67,1349,,,,,,,,,-19.450420379638672,9.382795333862305,-28.83321762084961,-28.83321762084961,8.856411933898926
-13.53038215637207,7.451724529266357,18.323209762573242,-18.323209762573242,-13.530383110046387,8.01388931274414,18.323209762573242,-18.323209762573242,67,1359,,,,,,,,,,,,,
-13.53038215637207,7.4554443359375,18.93783187866211,-18.93783187866211,-13.530383110046387,8.035282135009766,18.93783187866211,-18.93783187866211,68,1379,,,,,,,,,,,,,
